DOY,StationCode,mean_IPWV,std_IPWV,mean_ZWD,std_ZWD,mean_ZTD,std_ZTD,mean_TSURF,std_TSURF,mean_PSURF,std_PSURF,mean_RHSurf,std_RHSurf
103.0,BOMB,0.02433693887673179,0.010273925322679404,0.146025713883583,0.06056456046669602,2.4284156811664346,0.06360544612482688,34.29333333333333,4.208641902878714,1000.3299999999999,1.3942740046347142,35.28333333333333,16.256202098481268
103.0,MANI,0.037402773813888034,0.005742426885635058,0.2313533262819768,0.03881132622738364,2.397354348600401,0.040489935839278714,26.549351651155494,5.439853925045002,949.4365459664261,1.5849855157769575,62.09983481298519,25.49846233834127
103.0,TRIV,0.05403299196154766,0.005775957572749086,0.33379636488906583,0.03696619014449895,2.6088769928247544,0.03711875904374513,27.38394708533036,1.7864953362076235,996.6727283999795,1.1202005988438537,87.18344595658152,8.532413489810972
104.0,MANI,0.03703425594868417,0.004568385340306686,0.22704427053421175,0.028846734257769218,2.3912916616029,0.028099101978392053,28.667807184475567,3.526743731305528,948.6678663931319,1.7080153046464954,53.14139141025828,11.82324581412003
104.0,TRIV,0.04732147487527631,0.005660860410738921,0.2891633027222806,0.03601873875379025,2.5643110974330026,0.035195666958543384,30.77907693011944,3.185142613223178,996.7021533954327,1.2735412495763754,65.06199999530499,17.34920892888292
105.0,MANI,0.03752727079535684,0.003664664148979657,0.22821647409469845,0.02390744756474861,2.393196040584195,0.025655224318754645,31.23324292705905,3.823424057413452,948.9888030021422,0.9426723975714884,42.49114122698384,14.079764439991786
105.0,TRIV,0.044120737944136956,0.00950710461777925,0.26985601105473256,0.056564673755420514,2.5434063954786823,0.05686062066698255,29.83955307006836,3.282533017477548,996.0023570667614,0.9637918011217245,70.75369609485973,15.613197593609325
106.0,MANI,0.041406460028762616,0.0034786148497105915,0.2513083107769489,0.02022291693887431,2.4188257480661073,0.02100038887167585,31.533903181552887,4.175332981145564,950.1012465159098,1.3939292084223136,42.50282130638758,13.337059770212058
106.0,TRIV,0.051003752703157566,0.008175496439603282,0.31275032972916955,0.04920179489957153,2.5887009849150977,0.04826251871738046,29.379917005697887,2.797124570460335,997.0538673400879,1.1574048057491595,73.3166929880778,13.662152408592105
107.0,MANI,0.035901813758047005,0.0036441433142278337,0.2164792101634176,0.02102711962215301,2.3803247451782226,0.023051760292737596,33.4985947257594,3.7827628213824114,948.4917159231086,1.2640401697933425,28.983732313858834,10.29745790090465
107.0,ROPA,0.023994470015168187,0.005245002334759276,0.14876365977323658,0.03155938107635523,2.3798499592279985,0.0321537782839757,23.941869089158914,6.44857830347648,978.6081677452993,0.7468941473797348,56.838114334365066,22.747147657774498
107.0,TRIV,0.04513512883568182,0.0058942330760142865,0.27665564247096575,0.035823395487467345,2.552571192383766,0.03560409477548313,29.568406979242962,2.8403663051894137,997.038490931193,1.2480749453740536,74.58124454816182,12.90906565156061
108.0,MANI,0.031060224828203788,0.0035269803872705263,0.18719314883520782,0.020084503820117484,2.3485941653987537,0.020492429978551538,33.54805301837451,3.6413585798755763,947.4201976633431,0.7841707722448304,22.446872157333114,5.265298005621756
108.0,ROPA,0.02881179889379573,0.0057855058199530905,0.17807104829223394,0.03735146260786082,2.406482401287934,0.03780877589705942,25.94105237131875,5.509876274393893,977.434869610426,0.6336757773518492,46.88431430753792,20.39300452614334
108.0,TRIV,0.047142327538535374,0.00620270124805077,0.2884664952747401,0.03658621048068827,2.5628016341635083,0.036833189885575365,29.968913163394653,2.8647673245961873,996.3461428438222,1.1665573148499973,74.54287378205412,12.053716850800534
109.0,BOMB,0.03577829303058856,0.00436168026055455,0.21601651894586943,0.026334230117470023,2.4992735082990056,0.02633423011746977,33.72000000000003,0.0,1000.71,0.0,64.7,0.0
109.0,MANI,0.0283747447528881,0.002328500338791897,0.1731551990172278,0.014975714412966346,2.334599617454926,0.015867829957269118,30.06914814814814,3.7085917046100105,947.4392222222222,1.1002685320533894,27.95848148148148,6.138514429042792
109.0,ROPA,0.03878771379550368,0.0020454731527846386,0.24380482450619495,0.010487336039016635,2.471033488442645,0.010556147575781365,20.11563981042655,4.235933915479832,976.9161137440758,0.377424942207772,73.21431279620853,14.129174473804767
109.0,TRIV,0.042254429639345684,0.0038430237471050407,0.26032898104906965,0.022229360491352126,2.5333398241280984,0.02158420075894173,27.949571984435803,2.4394310082910837,995.7659922178989,0.814184244697825,82.98700389105058,9.004840233390647
110.0,BOMB,0.03291034082168863,0.0007763229637213978,0.19989430682979026,0.0047152860810003114,2.471537763715174,0.004715286081000141,31.860000000000014,0.0,995.6200000000001,0.0,58.07000000000001,0.0
110.0,MANI,0.032738293922379834,0.004628708183133408,0.197367376219213,0.02834232522231045,2.354149682817841,0.028628563777129194,33.74881724913915,3.71404360393488,945.3956507110596,1.2550105836426193,24.211941192944845,7.5976643659223635
110.0,ROPA,0.035468732933894215,0.0069151750910414625,0.21840086165881667,0.04377237235282217,2.438566778400466,0.044311997272938955,26.714067723370977,4.85505771508109,973.8182231869905,1.3893515940031738,50.276845893307005,17.6107363459141
110.0,TRIV,0.04758395139622307,0.00930404504047616,0.2912779969846438,0.0575425920400721,2.5614503505825517,0.05683939436032833,30.1771875,3.503652741482065,994.5225,1.4926832074806058,74.09166666666667,14.94126871712015
111.0,MANI,0.03115619312100341,0.005475257230604115,0.18840637896258577,0.03284841658419023,2.345599167047741,0.03390203456046338,32.58684210526316,3.788667947343703,945.5755789473685,1.2455168249583453,24.861684210526317,5.781984061414398
